EBike,1,001,丁再刚,勇峰自行车公园,-,-,-,12:12:49.496,12:18:01.080,00:05:11.584,500,12:12:49.496,12:18:01.080,00:05:11.584,500,12:12:49.496,12:18:01.080,00:05:11.584,500,1-丁再刚.png,1500
大师组,-,412,林世忠,西虹试飞客队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,12-林世忠.png,0
大师组,-,413,朱嘉钧,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,13-朱嘉钧.png,0
大师组,-,414,肖庆,上海魅力单车,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,14-肖庆.png,0
大师组,-,415,彭惟礼,上海魅力单车,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,15-彭惟礼.png,0
大师组,-,416,严俊,上海魅力单车,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,16-严俊.png,0
大师组,-,417,周辰烨,上海魅力单车,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,17-周辰烨.png,0
大师组,-,418,唐陈,上海魅力单车,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,18-唐陈.png,0
大师组,-,419,朱陈华,上海魅力单车,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,19-朱陈华.png,0
大师组,-,420,徐煜寰,上海魅力单车,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,20-徐煜寰.png,0
大师组,-,421,周炅闻,天空穿越车队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,21-周炅闻.png,0
大师组,-,422,谢东珂,雪天车队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,22-谢东珂.png,0
大师组,-,423,夏永照,西虹试飞客队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,23-夏永照.png,0
大师组,-,424,林正峯,西虹试飞客队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,24-林正峯.png,0
大师组,-,425,周军,西虹试飞客队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,25-周军.png,0
大师组,-,426,顾春华,西虹试飞客队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,26-顾春华.png,0
大师组,-,427,苏涵宇,西虹试飞客队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,27-苏涵宇.png,0
大师组,-,428,张亮,闪电中国杭州中老年扛车队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,28-张亮.png,0
大师组,-,429,宋舒波,假日单车山地队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,29-宋舒波.png,0
大师组,-,430,范旻,省级机关自行车队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,30-范旻.png,0
大师组,-,431,沈振亮,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,31-沈振亮.png,0
大师组,-,432,陈黎升,鬼魅仔车队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,32-陈黎升.png,0
大师组,-,433,Woon Hon Siong,鬼魅仔车队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,33-Woon.png,0
大师组,-,434,李程,省直机关自行车队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,34-李程.png,0
大师组,-,435,吴双,假日单车山地队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,35-吴双.png,0
